Year,Grade Level,Topic,Measure,Breakout,Breakout Value,% of students County,CI +/- County,% of students State,CI +/- State
2021,6,Mental Health,Adults to Turn to When Depressed,Grades in School,Mostly A's,70.90%,2.40%,65.40%,1.70%
2021,6,Mental Health,Adults to Turn to When Depressed,Grades in School,Mostly B's,60.40%,3.00%,57.50%,1.90%
2021,6,Mental Health,Adults to Turn to When Depressed,Grades in School,Mostly C's,52.10%,5.70%,52.60%,3.20%
2021,6,Mental Health,Adults to Turn to When Depressed,Grades in School,Mostly D's/F's,42.10%,9.10%,43.90%,5.40%
2021,6,Mental Health,Adults to Turn to When Depressed,Gender Identity,Male,63.80%,2.40%,60.80%,1.60%
2021,6,Mental Health,Adults to Turn to When Depressed,Gender Identity,Female,64.40%,2.40%,58.70%,1.60%
2021,6,Mental Health,Adults to Turn to When Depressed,Race/Ethnicity,Native American,61.40%,9.50%,59.60%,5.40%
2021,6,Mental Health,Adults to Turn to When Depressed,Race/Ethnicity,Asian,60.20%,4.20%,56.60%,3.60%
2021,6,Mental Health,Adults to Turn to When Depressed,Race/Ethnicity,Black,51.90%,7.20%,51.80%,4.80%
2021,6,Mental Health,Adults to Turn to When Depressed,Race/Ethnicity,Hispanic,51.00%,5.70%,48.90%,2.80%
2021,6,Mental Health,Adults to Turn to When Depressed,Race/Ethnicity,Pacific Islander,42.60%,14.10%,48.20%,7.60%
2021,6,Mental Health,Adults to Turn to When Depressed,Race/Ethnicity,White,72.80%,3.00%,69.40%,2.00%
2021,6,Mental Health,Adults to Turn to When Depressed,Race/Ethnicity,Multi-race,63.50%,4.80%,58.40%,3.10%
2021,6,Mental Health,Adults to Turn to When Depressed,Academic  Failure,Low Risk,68.10%,2.30%,64.80%,1.50%
2021,6,Mental Health,Adults to Turn to When Depressed,Academic  Failure,High Risk,55.80%,3.00%,52.70%,1.80%
2021,6,Mental Health,Adults to Turn to When Depressed,Low Commitment to School,Low Risk,71.70%,2.40%,67.90%,1.60%
2021,6,Mental Health,Adults to Turn to When Depressed,Low Commitment to School,High Risk,57.50%,2.40%,53.80%,1.50%
2021,6,Mental Health,Adults to Turn to When Depressed,Peers Attitudes Favorable Towards Drug Use,Low Risk,66.60%,1.90%,63.10%,1.30%
2021,6,Mental Health,Adults to Turn to When Depressed,Peers Attitudes Favorable Towards Drug Use,High Risk,52.70%,4.20%,49.00%,2.40%
2021,6,Mental Health,Adults to Turn to When Depressed,Migrant Status,Non-migrant,64.60%,1.80%,60.20%,1.20%
2021,6,Mental Health,Adults to Turn to When Depressed,Migrant Status,Migrant,58.90%,5.60%,56.30%,3.10%
2021,6,Mental Health,Adults to Turn to When Depressed,Military Parents,Non-militrary,64.40%,1.90%,59.80%,1.30%
2021,6,Mental Health,Adults to Turn to When Depressed,Military Parents,Military,61.70%,4.50%,59.20%,2.30%
2021,6,Mental Health,Contemplation of Suicide,Grades in School,Mostly A's,13.90%,1.90%,19.20%,1.40%
2021,6,Mental Health,Contemplation of Suicide,Grades in School,Mostly B's,19.50%,2.40%,25.10%,1.60%
2021,6,Mental Health,Contemplation of Suicide,Grades in School,Mostly C's,30.60%,5.40%,34.30%,3.10%
2021,6,Mental Health,Contemplation of Suicide,Grades in School,Mostly D's/F's,43.80%,9.20%,46.50%,5.50%
2021,6,Mental Health,Contemplation of Suicide,Gender Identity,Male,14.70%,1.80%,17.70%,1.20%
2021,6,Mental Health,Contemplation of Suicide,Gender Identity,Female,22.90%,2.20%,31.10%,1.50%
2021,6,Mental Health,Contemplation of Suicide,Race/Ethnicity,Native American,10.90%,6.10%,21.00%,4.50%
2021,6,Mental Health,Contemplation of Suicide,Race/Ethnicity,Asian,19.00%,3.40%,23.00%,3.10%
2021,6,Mental Health,Contemplation of Suicide,Race/Ethnicity,Black,20.80%,6.00%,28.20%,4.40%
2021,6,Mental Health,Contemplation of Suicide,Race/Ethnicity,Hispanic,24.80%,4.90%,25.70%,2.50%
