School Year,State,NCES LEA ID,LEA,School,NCES SCH ID,Data Group,Data Description,Value,Denominator,Numerator,Population,Subgroup,Characteristics,Age/Grade,Academic Subject,Program Type,Outcome
2018-2019,WASHINGTON,5300300,Auburn School District,,,655,Homeless Students Enrolled,348,,,Homeless Students,All Students,,,,,
2018-2019,WASHINGTON,5300300,Auburn School District,,,655,Homeless Students Enrolled,76,,,Homeless Students,Children with one or more disabilities (IDEA),,,,,
2018-2019,WASHINGTON,5300300,Auburn School District,,,655,Homeless Students Enrolled,35,,,Homeless Students,English Learner,,,,,
2018-2019,WASHINGTON,5300300,Auburn School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,,,,
2018-2019,WASHINGTON,5300300,Auburn School District,,,655,Homeless Students Enrolled,16,,,Homeless Students,Unaccompanied Youth,,,,,
2020-2021,WASHINGTON,5308700,Tacoma School District,,,818,Young homeless children served by McKinney-Vento,34,,,Homeless Students,,,Age birth through 5 (not kindergarten),,,
2018-2019,WASHINGTON,5300300,Auburn School District,,,655,Homeless Students Enrolled,265,,,Homeless Students,,Doubled-up,,,,
2018-2019,WASHINGTON,5300300,Auburn School District,,,655,Homeless Students Enrolled,25,,,Homeless Students,,Hotels/motels,,,,
2018-2019,WASHINGTON,5300300,Auburn School District,,,655,Homeless Students Enrolled,49,,,Homeless Students,,"Shelters, transitional housing, or awaiting foster care",,,,
2018-2019,WASHINGTON,5300300,Auburn School District,,,655,Homeless Students Enrolled,9,,,Homeless Students,,Unsheltered,,,,
2018-2019,WASHINGTON,5300390,Bellevue School District,,,655,Homeless Students Enrolled,279,,,Homeless Students,All Students,,,,,
2018-2019,WASHINGTON,5300390,Bellevue School District,,,655,Homeless Students Enrolled,67,,,Homeless Students,Children with one or more disabilities (IDEA),,,,,
2018-2019,WASHINGTON,5300390,Bellevue School District,,,655,Homeless Students Enrolled,109,,,Homeless Students,English Learner,,,,,
2018-2019,WASHINGTON,5300390,Bellevue School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,,,,
2018-2019,WASHINGTON,5300390,Bellevue School District,,,655,Homeless Students Enrolled,63,,,Homeless Students,Unaccompanied Youth,,,,,
2018-2019,WASHINGTON,5300390,Bellevue School District,,,655,Homeless Students Enrolled,210,,,Homeless Students,,Doubled-up,,,,
2018-2019,WASHINGTON,5300390,Bellevue School District,,,655,Homeless Students Enrolled,5,,,Homeless Students,,Hotels/motels,,,,
2018-2019,WASHINGTON,5300390,Bellevue School District,,,655,Homeless Students Enrolled,45,,,Homeless Students,,"Shelters, transitional housing, or awaiting foster care",,,,
2018-2019,WASHINGTON,5300390,Bellevue School District,,,655,Homeless Students Enrolled,19,,,Homeless Students,,Unsheltered,,,,
2018-2019,WASHINGTON,5300001,Enumclaw School District,,,655,Homeless Students Enrolled,202,,,Homeless Students,All Students,,,,,
