SchoolYear,OrganizationLevel,County,ESDName,ESDOrganizationID,DistrictCode,DistrictName,DistrictOrganizationId,SchoolCode,SchoolName,SchoolOrganizationid,CurrentSchoolType,GradeLevel,All Students,Female,Gender X,Male,American Indian/ Alaskan Native,Asian,Black/ African American,Hispanic/ Latino of any race(s),Native Hawaiian/ Other Pacific Islander,Two or More Races,White,English Language Learners,Highly Capable,Homeless,Low-Income,Migrant,Military Parent,Mobile,Section 504,Students with Disabilities,Non-English Language Learners,Non-Highly Capable,Non-Homeless,Non-Low Income,Non Migrant,Non Military Parent,Non Mobile,Non Section 504,Students without Disabilities,DataAsOf,foster_care,non_foster_care
2018-19,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,3825,Alpac Elementary School,101425,P,1st Grade,105,49,0,56,0,8,5,42,0,11,39,36,0,0,66,0,1,5,1,21,69,105,105,39,105,104,100,104,84,4/22/22 0:00,0,105
2018-19,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,3825,Alpac Elementary School,101425,P,2nd Grade,110,51,0,59,0,11,4,27,1,15,52,28,2,1,58,0,1,6,2,9,82,108,109,52,110,109,104,108,101,4/22/22 0:00,0,109
2018-19,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,3825,Alpac Elementary School,101425,P,3rd Grade,97,48,0,49,0,13,3,30,2,11,38,28,2,0,61,0,2,1,1,14,69,95,97,36,97,95,96,96,83,4/22/22 0:00,0,97
2018-19,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,3825,Alpac Elementary School,101425,P,4th Grade,89,50,0,39,0,13,5,29,1,12,29,18,0,0,58,0,0,4,1,8,71,89,89,31,89,89,85,88,81,4/22/22 0:00,0,89
2018-19,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,3825,Alpac Elementary School,101425,P,5th Grade,102,60,0,42,0,18,2,27,3,13,39,12,1,1,61,0,2,3,5,4,90,101,101,41,102,100,99,97,98,4/22/22 0:00,0,101
2018-19,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,3825,Alpac Elementary School,101425,P,AllGrades,651,328,0,323,1,90,24,201,8,74,253,171,5,3,380,0,6,25,10,82,480,646,648,271,651,645,626,641,569,4/22/22 0:00,0,649
2018-19,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,3825,Alpac Elementary School,101425,P,Kindergarten,104,49,0,55,1,21,5,29,1,8,39,49,0,1,61,0,0,4,0,12,55,104,103,43,104,104,100,104,92,4/22/22 0:00,0,104
2018-19,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,3825,Alpac Elementary School,101425,P,Pre-Kindergarten,44,21,0,23,0,6,0,17,0,4,17,0,0,0,15,0,0,2,0,14,44,44,44,29,44,44,42,44,30,4/22/22 0:00,0,44
2018-19,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,5082,Arthur Jacobsen Elementary,104336,P,1st Grade,89,37,0,52,0,14,8,24,1,6,36,37,0,2,51,0,0,3,0,6,52,89,87,38,89,89,86,89,83,4/22/22 0:00,0,89
2018-19,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,5082,Arthur Jacobsen Elementary,104336,P,2nd Grade,89,35,0,54,0,14,4,26,2,10,33,25,3,1,45,0,1,4,3,10,64,86,88,44,89,88,85,86,79,4/22/22 0:00,0,89
