SchoolYear,OrganizationLevel,County,ESDName,ESDOrganizationID,DistrictCode,DistrictName,DistrictOrganizationId,SchoolCode,SchoolName,SchoolOrganizationid,CurrentSchoolType,GradeLevel,All Students,Female,Gender X,Male,American Indian/ Alaskan Native,Asian,Black/ African American,Hispanic/ Latino of any race(s),Native Hawaiian/ Other Pacific Islander,Two or More Races,White,English Language Learners,Highly Capable,Homeless,Low-Income,Migrant,Military Parent,Mobile,Section 504,Students with Disabilities,Non-English Language Learners,Non-Highly Capable,Non-Homeless,Non-Low Income,Non Migrant,Non Military Parent,Non Mobile,Non Section 504,Students without Disabilities,DataAsOf,Foster_Care,Non_Foster_Care
2019-20,School,King,Washington State Charter School Commission,105798,17915,Ashe Preparatory Academy,106185,5602,Ashe Preparatory Academy (Closed after 2019-2020 school year),106253,P,1st Grade,15,9,0,6,0,0,12,2,0,1,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,4/22/22 0:00,0,15
2019-20,School,King,Washington State Charter School Commission,105798,17915,Ashe Preparatory Academy,106185,5602,Ashe Preparatory Academy (Closed after 2019-2020 school year),106253,P,2nd Grade,14,9,0,5,0,0,11,1,0,2,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,14,14,14,14,4/22/22 0:00,0,14
2019-20,School,King,Washington State Charter School Commission,105798,17915,Ashe Preparatory Academy,106185,5602,Ashe Preparatory Academy (Closed after 2019-2020 school year),106253,P,6th Grade,23,8,0,15,1,0,16,3,0,3,0,0,0,0,0,0,0,0,0,0,23,23,23,23,23,23,23,23,23,4/22/22 0:00,0,22
2019-20,School,King,Washington State Charter School Commission,105798,17915,Ashe Preparatory Academy,106185,5602,Ashe Preparatory Academy (Closed after 2019-2020 school year),106253,P,AllGrades,89,45,0,44,1,0,71,7,0,10,0,0,0,0,0,0,0,0,0,0,89,89,89,89,89,89,89,89,89,4/22/22 0:00,0,88
2019-20,School,King,Washington State Charter School Commission,105798,17915,Ashe Preparatory Academy,106185,5602,Ashe Preparatory Academy (Closed after 2019-2020 school year),106253,P,AllGrades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/22/22 0:00,0,0
2019-20,School,King,Washington State Charter School Commission,105798,17915,Ashe Preparatory Academy,106185,5602,Ashe Preparatory Academy (Closed after 2019-2020 school year),106253,P,Kindergarten,37,19,0,18,0,0,32,1,0,4,0,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37,37,37,37,4/22/22 0:00,0,37
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,3825,Alpac Elementary School,101425,P,1st Grade,110,52,0,58,1,18,5,33,2,8,43,52,0,0,68,0,0,3,0,14,58,110,110,42,110,110,107,110,96,4/22/22 0:00,0,110
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,3825,Alpac Elementary School,101425,P,2nd Grade,103,49,0,54,0,9,4,39,1,11,39,34,0,3,69,0,0,1,2,17,69,103,100,34,103,103,102,101,86,4/22/22 0:00,0,103
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,3825,Alpac Elementary School,101425,P,3rd Grade,111,54,0,57,0,12,3,22,2,17,55,22,4,0,60,0,1,5,0,8,89,107,111,51,111,110,106,111,103,4/22/22 0:00,0,110
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,3825,Alpac Elementary School,101425,P,4th Grade,99,46,0,53,0,14,4,33,3,12,33,25,0,1,65,0,2,3,0,15,74,99,98,34,99,97,96,99,84,4/22/22 0:00,0,99
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,3825,Alpac Elementary School,101425,P,5th Grade,90,52,0,38,0,14,5,30,1,12,28,17,0,0,61,0,0,3,1,7,73,90,90,29,90,90,87,89,83,4/22/22 0:00,0,90
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,3825,Alpac Elementary School,101425,P,AllGrades,723,360,0,363,3,89,25,234,13,88,271,198,4,7,437,0,3,25,3,105,525,719,716,286,723,720,698,720,618,4/22/22 0:00,0,722
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,3825,Alpac Elementary School,101425,P,AllGrades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/22/22 0:00,0,0
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,3825,Alpac Elementary School,101425,P,Kindergarten,119,64,0,55,1,13,0,41,2,17,45,48,0,3,62,0,0,2,0,10,71,119,116,57,119,119,117,119,109,4/22/22 0:00,0,119
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,3825,Alpac Elementary School,101425,P,Pre-Kindergarten,91,43,0,48,1,9,4,36,2,11,28,0,0,0,52,0,0,8,0,34,91,91,91,39,91,91,83,91,57,4/22/22 0:00,0,91
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,5082,Arthur Jacobsen Elementary,104336,P,1st Grade,84,36,0,48,0,14,6,26,1,9,28,40,0,0,50,0,1,3,2,8,44,84,84,34,84,83,81,82,76,4/22/22 0:00,0,84
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,5082,Arthur Jacobsen Elementary,104336,P,2nd Grade,89,36,0,53,0,15,6,23,1,7,37,29,2,1,46,0,0,5,0,9,60,87,88,43,89,89,84,89,80,4/22/22 0:00,0,89
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,5082,Arthur Jacobsen Elementary,104336,P,3rd Grade,94,42,0,52,0,18,5,29,1,6,35,28,3,1,52,0,0,4,2,9,66,91,93,42,94,94,90,92,85,4/22/22 0:00,0,93
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,5082,Arthur Jacobsen Elementary,104336,P,4th Grade,97,48,0,49,0,13,6,25,1,11,41,20,1,0,54,0,1,3,0,13,77,96,97,43,97,96,94,97,84,4/22/22 0:00,0,97
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,5082,Arthur Jacobsen Elementary,104336,P,5th Grade,89,41,0,48,0,14,11,23,1,7,33,11,0,0,47,0,0,1,2,7,78,89,89,42,89,89,88,87,82,4/22/22 0:00,0,89
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,5082,Arthur Jacobsen Elementary,104336,P,AllGrades,591,259,0,332,0,100,48,154,7,58,224,166,6,5,310,0,5,21,6,78,425,585,586,281,591,586,570,585,513,4/22/22 0:00,0,590
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,5082,Arthur Jacobsen Elementary,104336,P,AllGrades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/22/22 0:00,0,0
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,5082,Arthur Jacobsen Elementary,104336,P,Kindergarten,81,36,0,45,0,13,9,20,2,8,29,38,0,2,47,0,2,4,0,8,43,81,79,34,81,79,77,81,73,4/22/22 0:00,0,81
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,5082,Arthur Jacobsen Elementary,104336,P,Pre-Kindergarten,57,20,0,37,0,13,5,8,0,10,21,0,0,1,14,0,1,1,0,24,57,57,56,43,57,56,56,57,33,4/22/22 0:00,0,57
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,5037,Auburn Mountainview High School,104154,P,10th Grade,424,216,0,208,0,65,43,89,11,34,182,58,16,2,199,0,1,19,13,44,366,408,422,225,424,423,405,411,380,4/22/22 0:00,0,424
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,5037,Auburn Mountainview High School,104154,P,11th Grade,429,217,0,212,3,61,41,86,2,30,206,41,20,1,197,0,4,15,19,33,388,409,428,232,429,425,414,410,396,4/22/22 0:00,0,428
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,5037,Auburn Mountainview High School,104154,P,12th Grade,386,186,0,200,2,51,52,69,8,21,183,43,46,8,183,0,3,16,15,32,343,340,378,203,386,383,370,371,354,4/22/22 0:00,0,385
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,5037,Auburn Mountainview High School,104154,P,9th Grade,424,213,0,211,4,62,43,89,9,27,190,76,13,6,241,0,3,19,10,32,348,411,418,183,424,421,405,414,392,4/22/22 0:00,0,422
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,5037,Auburn Mountainview High School,104154,P,AllGrades,1663,832,0,831,9,239,179,333,30,112,761,218,95,17,820,0,11,69,57,141,1445,1568,1646,843,1663,1652,1594,1606,1522,4/22/22 0:00,0,1659
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,5037,Auburn Mountainview High School,104154,P,AllGrades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/22/22 0:00,0,0
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,5522,Auburn Opportunity Project,106153,R,10th Grade,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,4/22/22 0:00,0,1
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,5522,Auburn Opportunity Project,106153,R,11th Grade,7,6,0,1,0,0,1,1,1,0,4,0,0,0,4,0,0,1,2,0,7,7,7,3,7,7,6,5,7,4/22/22 0:00,0,6
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,5522,Auburn Opportunity Project,106153,R,12th Grade,108,53,0,55,1,5,9,32,0,16,45,5,0,0,43,0,1,51,7,3,103,108,108,65,108,107,57,101,105,4/22/22 0:00,0,108
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,5522,Auburn Opportunity Project,106153,R,AllGrades,116,59,0,57,1,5,10,33,1,16,50,5,0,0,47,0,1,52,9,4,111,116,116,69,116,115,64,107,112,4/22/22 0:00,0,115
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,5522,Auburn Opportunity Project,106153,R,AllGrades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/22/22 0:00,0,0
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,4474,Auburn Riverside High School,101432,P,10th Grade,477,244,0,233,2,54,24,121,18,48,210,60,31,5,191,1,7,18,13,31,417,446,472,286,476,470,459,464,446,4/22/22 0:00,0,475
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,4474,Auburn Riverside High School,101432,P,11th Grade,404,183,0,221,1,52,22,113,14,32,170,40,16,0,156,0,3,20,11,14,364,388,404,248,404,401,384,393,390,4/22/22 0:00,0,404
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,4474,Auburn Riverside High School,101432,P,12th Grade,404,211,0,193,2,52,22,97,12,29,190,33,51,5,149,0,5,11,12,26,371,353,399,255,404,399,393,392,378,4/22/22 0:00,0,404
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,4474,Auburn Riverside High School,101432,P,9th Grade,492,240,0,252,1,65,29,141,20,42,194,56,12,1,212,0,3,16,14,33,436,480,491,280,492,489,476,478,459,4/22/22 0:00,0,491
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,4474,Auburn Riverside High School,101432,P,AllGrades,1777,878,0,899,6,223,97,472,64,151,764,189,110,11,708,1,18,65,50,104,1588,1667,1766,1069,1776,1759,1712,1727,1673,4/22/22 0:00,0,1774
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,4474,Auburn Riverside High School,101432,P,AllGrades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/22/22 0:00,0,0
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,2795,Auburn Senior High School,101417,P,10th Grade,455,230,0,225,8,39,47,162,25,42,132,96,11,6,291,1,5,40,13,64,359,444,449,164,454,450,415,442,391,4/22/22 0:00,0,453
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,2795,Auburn Senior High School,101417,P,11th Grade,422,196,0,226,9,42,33,150,20,25,143,91,6,6,250,2,2,42,3,61,331,416,416,172,420,420,380,419,361,4/22/22 0:00,0,420
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,2795,Auburn Senior High School,101417,P,12th Grade,436,207,0,229,11,39,36,143,25,29,153,63,24,4,255,0,3,34,6,93,373,412,432,181,436,433,402,430,343,4/22/22 0:00,0,434
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,2795,Auburn Senior High School,101417,P,9th Grade,464,227,0,237,10,34,46,161,31,49,133,113,9,9,299,1,5,28,7,72,351,455,455,165,463,459,436,457,392,4/22/22 0:00,0,462
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,2795,Auburn Senior High School,101417,P,AllGrades,1777,860,0,917,38,154,162,616,101,145,561,363,50,25,1095,4,15,144,29,290,1414,1727,1752,682,1773,1762,1633,1748,1487,4/22/22 0:00,0,1769
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,2795,Auburn Senior High School,101417,P,AllGrades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/22/22 0:00,0,0
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,2394,Cascade Middle School,101414,P,6th Grade,304,152,0,152,1,37,24,80,24,41,97,49,12,3,191,0,3,11,3,36,255,292,301,113,304,301,293,301,268,4/22/22 0:00,0,303
2019-20,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,2394,Cascade Middle School,101414,P,7th Grade,286,126,0,160,1,19,30,75,24,25,112,52,12,7,179,0,4,21,5,33,234,274,279,107,286,282,265,281,253,4/22/22 0:00,0,284
