SchoolYear,OrganizationLevel,County,ESDName,ESDOrganizationId,DistrictCode,DistrictName,DistrictOrganizationId,SchoolCode,SchoolName,SchoolOrganizationId,CurrentSchoolType,GradeLevel,All Students,Female,Gender X,Male,American Indian/ Alaskan Native,Asian,Black/ African American,Hispanic/ Latino of any race(s),Native Hawaiian/ Other Pacific Islander,Two or More Races,White,English Language Learners,Foster Care,Highly Capable,Homeless,Low-Income,Migrant,Military Parent,Mobile,Section 504,Students with Disabilities,Non-English Language Learners,Non-Foster Care,Non-Highly Capable,Non-Homeless,Non-Low Income,Non Migrant,Non Military Parent,Non Mobile,Non Section 504,Students without Disabilities,DataAsOf
2021-22,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,3825,Alpac Elementary School,101425,P,1st Grade,106,56,0,50,1,13,2,34,7,13,36,43,0,0,0,72,0,0,5,0,14,63,106,106,106,34,106,106,101,106,92,4/22/22 0:00
2021-22,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,3825,Alpac Elementary School,101425,P,2nd Grade,86,41,0,45,0,11,3,30,3,12,27,36,0,2,0,54,0,1,3,0,6,50,86,84,86,32,86,85,83,86,80,4/22/22 0:00
2021-22,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,3825,Alpac Elementary School,101425,P,3rd Grade,94,46,0,48,1,16,6,31,3,7,30,35,0,0,2,65,0,0,3,0,15,59,94,94,92,29,94,94,91,94,79,4/22/22 0:00
2021-22,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,3825,Alpac Elementary School,101425,P,4th Grade,85,38,0,47,0,8,2,41,1,9,24,36,0,0,0,56,0,0,5,2,12,49,85,85,85,29,85,85,80,83,73,4/22/22 0:00
2021-22,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,3825,Alpac Elementary School,101425,P,5th Grade,89,40,0,49,0,13,3,27,4,11,31,19,0,0,3,58,0,0,1,1,8,70,89,89,86,31,89,89,88,88,81,4/22/22 0:00
2021-22,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,3825,Alpac Elementary School,101425,P,AllGrades,601,289,0,312,2,79,27,216,24,63,190,212,0,2,5,394,0,1,24,3,86,389,601,599,596,207,601,600,577,598,515,4/22/22 0:00
2021-22,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,3825,Alpac Elementary School,101425,P,Kindergarten,86,44,0,42,0,9,5,33,4,7,28,43,0,0,0,52,0,0,2,0,15,43,86,86,86,34,86,86,84,86,71,4/22/22 0:00
2021-22,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,3825,Alpac Elementary School,101425,P,Pre-Kindergarten,55,24,0,31,0,9,6,20,2,4,14,0,0,0,0,37,0,0,5,0,16,55,55,55,55,18,55,55,50,55,39,4/22/22 0:00
2021-22,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,5082,Arthur Jacobsen Elementary,104336,P,1st Grade,78,34,0,44,0,21,5,17,0,11,24,34,0,1,1,39,0,0,3,1,7,44,77,77,77,39,78,78,75,77,71,4/22/22 0:00
2021-22,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,5082,Arthur Jacobsen Elementary,104336,P,2nd Grade,82,44,0,38,0,18,10,20,2,10,22,37,0,5,1,54,0,0,4,2,8,45,82,77,81,28,82,82,78,80,74,4/22/22 0:00
